age,job,marital,edu,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0.20754716981132076,unemployed,married,primary,no,0.49804796430563303,no,no,cellular,19,oct,0.11346444780635401,0.0,-1,0,unknown,no
0.3018867924528302,management,single,tertiary,no,0.3761851645287228,yes,no,cellular,16,apr,0.27382753403933435,0.0,330,1,failure,no
0.20754716981132076,management,married,tertiary,no,0.4113218070273285,yes,yes,unknown,3,jun,0.2950075642965204,0.75,-1,0,unknown,no
0.3018867924528302,management,single,tertiary,no,0.20803123257110986,no,no,cellular,23,feb,0.20726172465960666,0.25,176,3,failure,no
0.32075471698113206,self-employed,married,tertiary,no,0.08533184606804238,yes,no,cellular,14,may,0.5098335854765507,0.0,330,2,other,no
0.37735849056603776,technician,married,secondary,no,0.04071388733965421,yes,no,cellular,6,may,0.22239031770045387,0.25,-1,0,unknown,no
0.41509433962264153,entrepreneur,married,tertiary,no,0.06134969325153374,yes,no,unknown,14,may,0.08018154311649017,0.25,-1,0,unknown,no
0.4528301886792453,admin.,married,secondary,no,0.07334076965978807,yes,no,cellular,17,apr,0.1649016641452345,0.25,-1,0,unknown,no
0.32075471698113206,technician,married,tertiary,no,0.3089793641940881,no,no,cellular,13,aug,0.49016641452344933,0.25,-1,0,unknown,no
0.018867924528301886,student,single,secondary,no,0.13970998326826548,no,no,cellular,30,apr,0.3888048411497731,0.0,-1,0,unknown,yes
0.22641509433962265,blue-collar,married,secondary,no,0.10011154489682098,yes,yes,cellular,29,jan,0.12859304084720122,0.0,241,1,failure,no
0.39622641509433965,management,married,tertiary,no,0.05382041271611824,no,yes,cellular,29,aug,0.27987897125567324,0.25,-1,0,unknown,no
0.33962264150943394,admin.,single,tertiary,no,0.6458449525934189,yes,no,cellular,20,apr,0.1664145234493192,0.0,152,2,failure,no
0.22641509433962265,services,married,secondary,no,0.03653095370886782,no,no,cellular,7,jul,0.2178517397881997,0.0,152,1,other,no
0.4339622641509434,management,divorced,tertiary,no,0.004182933630786392,no,no,cellular,19,nov,0.20574886535552195,0.5,-1,0,unknown,no
0.4716981132075472,services,single,secondary,no,0.02928053541550474,no,no,unknown,12,jun,0.1588502269288956,0.25,-1,0,unknown,no
0.4716981132075472,entrepreneur,married,secondary,no,0.025655326268823202,no,no,cellular,7,jul,0.18305597579425115,0.25,-1,0,unknown,no
0.1320754716981132,housemaid,married,tertiary,no,0.15114333519241493,no,no,cellular,30,jan,0.24962178517397882,0.5,-1,0,unknown,no
0.6792452830188679,blue-collar,married,primary,no,0.17456776352481873,yes,no,unknown,5,may,0.367624810892587,0.0,-1,0,unknown,no
0.9056603773584906,retired,married,unknown,no,0.19380925822643613,no,no,telephone,17,aug,0.17397881996974282,0.0,105,2,failure,no
0.6981132075471698,self-employed,married,secondary,no,0.21834913552704963,no,yes,cellular,30,jul,0.21936459909228442,0.25,-1,0,unknown,no
0.6415094339622641,admin.,married,secondary,no,0.029001673173452314,no,yes,cellular,21,aug,0.1059001512859304,0.25,-1,0,unknown,no
0.22641509433962265,technician,married,secondary,no,0.047406581148912434,no,no,cellular,27,aug,0.11649016641452345,0.5,-1,0,unknown,no
0.7547169811320755,management,married,secondary,no,0.01143335192414947,no,no,cellular,21,nov,0.05446293494704992,0.0,-1,0,unknown,no
0.5660377358490566,technician,married,tertiary,no,0.3441160066926938,no,no,cellular,13,aug,0.529500756429652,0.5,-1,0,unknown,yes
0.4339622641509434,admin.,divorced,secondary,no,0.5047406581148912,yes,no,unknown,14,may,0.22087745839636913,0.0,-1,0,unknown,no
0.24528301886792453,blue-collar,married,secondary,no,0.5822643614054657,yes,no,cellular,14,nov,0.19364599092284418,0.0,-1,0,unknown,yes
0.32075471698113206,management,single,tertiary,no,0.1539319576129392,no,no,cellular,11,aug,0.15431164901664146,0.25,-1,0,unknown,no
0.6226415094339622,blue-collar,married,secondary,no,0.3112102621305075,yes,no,cellular,13,may,0.546142208774584,0.0,-1,0,unknown,no
0.24528301886792453,technician,married,tertiary,no,0.11015058561070831,yes,no,cellular,13,may,0.3040847201210287,0.5,-1,0,unknown,no
0.24528301886792453,technician,single,tertiary,no,0.6143335192414947,yes,no,cellular,21,nov,0.01059001512859304,0.75,-1,0,unknown,no
0.2830188679245283,management,single,tertiary,no,0.24288901282766315,yes,no,unknown,7,may,0.15279878971255673,0.25,-1,0,unknown,no
0.6792452830188679,blue-collar,married,primary,no,0.040156162855549356,no,no,telephone,2,feb,0.0832072617246596,0.5,5,2,other,no
0.3584905660377358,technician,single,secondary,no,0.013664249860568878,no,no,cellular,29,aug,0.1422087745839637,0.25,-1,0,unknown,no
